CD_CARGO,NR_TURNO,CD_MUN,QT_VOTOS
7,1,2608404,8192
7,1,2608453,10970
7,1,2608503,12426
7,1,2608602,7832
7,1,2608701,8122
7,1,2608750,14984
7,1,2608800,21857
7,1,2608909,31458
7,1,2609006,13552
7,1,2609105,7676
7,1,2609154,9095
7,1,2609204,5900
7,1,2609303,8352
7,1,2609402,34689
7,1,2609501,17905
7,1,2609600,223758
7,1,2609709,13622
7,1,2609808,9037
7,1,2609907,35241
7,1,2610004,27389
7,1,2610103,3952
7,1,2610202,14250
7,1,2610301,7778
7,1,2610400,13633
7,1,2610509,17877
7,1,2610608,32746
7,1,2610707,170134
7,1,2610806,13237
7,1,2610905,33775
7,1,2611002,17907
7,1,2611101,172236
7,1,2611200,6965
7,1,2611309,13739
7,1,2611408,7684
7,1,2611507,10164
7,1,2611533,4538
7,1,2611606,916264
7,1,2611705,14899
7,1,2611804,20357
7,1,2611903,11705
7,1,2612000,7874
7,1,2612109,4821
7,1,2612208,30443
7,1,2612307,8291
7,1,2612406,11174
7,1,2612455,9659
7,1,2612471,6824
7,1,2612505,47702
7,1,2612554,9109
7,1,2612604,22993
7,1,2612703,7626
7,1,2612802,5789
7,1,2612901,5145
7,1,2613008,24933
7,1,2613107,21205
7,1,2613206,12599
7,1,2613305,12322
7,1,2613404,10538
7,1,2613503,18082
7,1,2613602,16588
7,1,2613701,57903
7,1,2613800,10161
7,1,2613909,44221
7,1,2614006,11504
7,1,2614105,16828
7,1,2614204,20314
7,1,2614303,6802
7,1,2614402,4073
7,1,2614501,32449
7,1,2614600,14605
7,1,2614709,7252
7,1,2614808,12811
7,1,2614857,13387
7,1,2615003,15085
7,1,2615102,4581
7,1,2615201,6541
7,1,2615300,28458
7,1,2615409,24310
7,1,2615508,8253
7,1,2615607,16227
7,1,2615706,8198
7,1,2615805,11474
7,1,2615904,5761
7,1,2616001,10379
7,1,2616100,5960
7,1,2616183,5601
7,1,2616209,11109
7,1,2616308,15475
7,1,2616407,72909
7,1,2616506,6932
25,1,2605459,2192
