NR_TURNO,CD_CARGO,SQ_CANDIDATO,NM_URNA_CANDIDATO,NM_CANDIDATO,NR_CANDIDATO,NR_PARTIDO,SG_PARTIDO,CD_SITUACAO_CANDIDATURA,CD_SIT_TOT_TURNO
1,7,170001618420,LÍVIA LIRA,LÍVIA DA PAZ LIRA,18300,18,REDE,12,5
1,6,170001595457,MICHELLY MIGUEL,CRISTIANE MICHELLE DAS NEVES MIGUEL,1055,10,REPUBLICANOS,12,5
1,7,170001608983,FLOR DA COLETIVA,ANDRESSA LAYSA QUEIROZ RIBEIRO,65100,65,PC do B,12,5
1,7,170001595435,BRUNA PAES BARRETO,BRUNA LEAL PAES BARRETO,10101,10,REPUBLICANOS,12,5
1,7,170001618946,JANAÍNA GOMES,MARIA JANAINA GOMES DOS SANTOS,12555,12,PDT,12,4
1,7,170001600158,NATALIA LÚCIA,NATALIA LÚCIA BARBOSA CARNEIRO,80180,80,UP,12,4
1,6,170001634982,CARINA PAZ,QUIRAELY CARINA JESUS DA PAZ OLIVEIRA,2890,28,PRTB,12,4
1,7,170001610724,TONHO DO POVÃO,ANTÔNIO JOÃO DOS SANTOS,77666,77,SOLIDARIEDADE,12,5
1,6,170001613269,TADINHO JOÃO,IRINALDO JOÃO DA SILVA,1533,15,MDB,12,5
1,6,170001718767,PASTOR CLEYTON LEON,CLEYTON LEON DE LIMA CANDIDO,3650,36,AGIR,12,4
1,7,170001619693,ABIMAEL SANTOS,ABIMAEL DOS SANTOS PEREIRA,22010,22,PL,12,2
1,6,170001619587,ADALBERTO SERTÃO AO LITORAL,ADALBERTO ALENCAR ALVES,1890,18,REDE,12,5
1,7,170001609263,ELLINSON DOS RODOVIARIOS,ELLINSSON JOSE FERREIRA DE LIMA,44944,44,UNIÃO,3,-1
1,7,170001723365,SAMUEL DA SULANCA,SAMUEL FRANCISCO DA SILVA,27888,27,DC,12,4
