CD_CARGO,NR_TURNO,CD_MUN,QT_VOTOS
7,1,2608057,8316
7,1,2608107,18814
7,1,2608206,10105
7,1,2608255,7987
7,1,2608305,10121
7,1,2608404,9153
7,1,2608453,12373
7,1,2608503,14791
7,1,2608602,8462
7,1,2608701,9098
7,1,2608750,16095
7,1,2608800,24722
7,1,2608909,37209
7,1,2609006,15163
7,1,2609105,8573
7,1,2609154,9587
7,1,2609204,6360
7,1,2609303,8978
7,1,2609402,40036
7,1,2609501,21117
7,1,2609600,258405
7,1,2609709,14733
7,1,2609808,9648
7,1,2609907,37194
7,1,2610004,31513
7,1,2610103,4487
7,1,2610202,15510
7,1,2610301,8799
7,1,2610400,14418
7,1,2610509,20719
7,1,2610608,36993
7,1,2610707,195450
7,1,2610806,14626
7,1,2610905,38241
7,1,2611002,19419
7,1,2611101,190832
7,1,2611200,7837
7,1,2611309,16700
7,1,2611408,8739
7,1,2611507,11513
7,1,2611533,4962
7,1,2611606,1041541
7,1,2611705,17177
7,1,2611804,22380
7,1,2611903,12781
7,1,2612000,9526
7,1,2612109,5432
7,1,2612208,33660
7,1,2612307,9329
7,1,2612406,12805
7,1,2612455,10125
7,1,2612471,7536
7,1,2612505,53119
7,1,2612554,9499
7,1,2612604,24081
7,1,2612703,8904
7,1,2612802,6372
7,1,2612901,5851
7,1,2613008,27740
7,1,2613107,25355
7,1,2613206,14035
7,1,2613305,14046
7,1,2613404,12207
7,1,2613503,20135
7,1,2613602,18547
7,1,2613701,67201
7,1,2613800,11258
7,1,2613909,48881
7,1,2614006,12188
7,1,2614105,19300
7,1,2614204,22261
7,1,2614303,7511
7,1,2614402,4365
7,1,2614501,38186
7,1,2614600,16412
7,1,2614709,8457
7,1,2614808,13523
7,1,2614857,14652
7,1,2615003,17462
7,1,2615102,5025
7,1,2615201,6920
7,1,2615300,33890
7,1,2615409,27495
7,1,2615508,9348
7,1,2615607,17418
7,1,2615706,9394
7,1,2615805,12469
7,1,2615904,6432
7,1,2616001,11218
7,1,2616100,6385
7,1,2616183,6293
7,1,2616209,13209
7,1,2616308,17288
7,1,2616407,84935
7,1,2616506,7800
25,1,2605459,2299
